--------- beginning of crash
--------- beginning of system
--------- beginning of main
2026-04-10 09:41:57.136 13690-13690 dex2oat                 dex2oat                              W  Verification of int org.concentus.OpusEncoder.opus_encode_native(short[], int, int, byte[], int, int, int, short[], int, int, int, int, int, int) took 108.616ms
---------------------------- PROCESS STARTED (13930) for package com.reedersystems.commandcomms ----------------------------
---------------------------- PROCESS ENDED (13930) for package com.reedersystems.commandcomms ----------------------------
---------------------------- PROCESS STARTED (13990) for package com.reedersystems.commandcomms ----------------------------
2026-04-10 09:43:19.933 13990-13990 [OpusCodec]             com.reedersystems.commandcomms       D  OpusCodec initialized rate=48000 channels=1 frameSize=960 bitrate=64000 VBR=true complexity=8 FEC=true lossPercent=10 decoderRate=48000 t=46ms
2026-04-10 09:43:31.660 13990-14487 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODER_REINIT rate=48000 frameSize=960 channels=1 bitrate=64000 VBR=true complexity=8 FEC=true — decoder untouched t=127ms
2026-04-10 09:43:33.424 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=1 pcmBytes=1920 encodedBytes=128 seq=1 t=1891ms
2026-04-10 09:43:33.699 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=2 pcmBytes=1920 encodedBytes=129 seq=2 t=2167ms
2026-04-10 09:43:33.856 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=3 pcmBytes=1920 encodedBytes=120 seq=3 t=2323ms
2026-04-10 09:43:33.970 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=4 pcmBytes=1920 encodedBytes=114 seq=4 t=2437ms
2026-04-10 09:43:34.066 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=5 pcmBytes=1920 encodedBytes=124 seq=5 t=2534ms
2026-04-10 09:43:34.158 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=6 totalFrames=6 totalPcmBytes=11520 totalEncodedBytes=776 t=2626ms
2026-04-10 09:43:40.681 13990-14492 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODER_REINIT rate=48000 frameSize=960 channels=1 bitrate=64000 VBR=true complexity=8 FEC=true — decoder untouched t=67ms
2026-04-10 09:43:40.912 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=1 pcmBytes=1920 encodedBytes=133 seq=1 t=297ms
2026-04-10 09:43:40.966 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=2 pcmBytes=1920 encodedBytes=133 seq=2 t=351ms
2026-04-10 09:43:41.021 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=3 pcmBytes=1920 encodedBytes=117 seq=3 t=407ms
2026-04-10 09:43:41.073 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=4 pcmBytes=1920 encodedBytes=169 seq=4 t=458ms
2026-04-10 09:43:41.143 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=5 pcmBytes=1920 encodedBytes=193 seq=5 t=529ms
2026-04-10 09:43:41.240 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=6 totalFrames=6 totalPcmBytes=11520 totalEncodedBytes=931 t=626ms
2026-04-10 09:43:42.256 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=23 totalFrames=29 totalPcmBytes=55680 totalEncodedBytes=4853 t=1641ms
2026-04-10 09:43:42.442 13990-13996 zygote                  com.reedersystems.commandcomms       I  Compiler allocated 4MB to compile int org.concentus.OpusEncoder.opus_encode_native(short[], int, int, byte[], int, int, int, short[], int, int, int, int, int, int)
2026-04-10 09:43:43.279 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=28 totalFrames=57 totalPcmBytes=109440 totalEncodedBytes=9367 t=2664ms
2026-04-10 09:43:45.686 13990-14491 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODER_REINIT rate=48000 frameSize=960 channels=1 bitrate=64000 VBR=true complexity=8 FEC=true — decoder untouched t=74ms
2026-04-10 09:43:45.894 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=1 pcmBytes=1920 encodedBytes=131 seq=1 t=282ms
2026-04-10 09:43:45.925 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=2 pcmBytes=1920 encodedBytes=126 seq=2 t=313ms
2026-04-10 09:43:45.957 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=3 pcmBytes=1920 encodedBytes=124 seq=3 t=345ms
2026-04-10 09:43:45.988 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=4 pcmBytes=1920 encodedBytes=157 seq=4 t=376ms
2026-04-10 09:43:46.017 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=5 pcmBytes=1920 encodedBytes=188 seq=5 t=405ms
2026-04-10 09:43:46.046 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=6 totalFrames=6 totalPcmBytes=11520 totalEncodedBytes=887 t=434ms
2026-04-10 09:43:47.076 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=29 totalFrames=35 totalPcmBytes=67200 totalEncodedBytes=5565 t=1464ms
2026-04-10 09:43:47.087 13990-14495 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=35 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=1 assertionFailures=1 method=encode
2026-04-10 09:43:47.093 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1481ms
2026-04-10 09:43:47.103 13990-14495 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=35 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=2 assertionFailures=2 method=encode
2026-04-10 09:43:47.110 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1498ms
2026-04-10 09:43:48.101 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=29 totalFrames=64 totalPcmBytes=122880 totalEncodedBytes=10314 t=2489ms
2026-04-10 09:43:51.800 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE frame=1 opusBytes=116 pcmBytes=1920 decodedSamples=960 PLC=false t=6188ms
2026-04-10 09:43:51.801 13990-14489 [AudioPlay]             com.reedersystems.commandcomms       D  LATENCY_FIRST_RX_FRAME_DECODED seq=0 opusBytes=116 pcmBytes=1920 t=6189ms
2026-04-10 09:43:52.202 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE frame=2 opusBytes=131 pcmBytes=1920 decodedSamples=960 PLC=false t=6590ms
2026-04-10 09:43:52.376 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE frame=3 opusBytes=136 pcmBytes=1920 decodedSamples=960 PLC=false t=6762ms
2026-04-10 09:43:52.416 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE frame=4 opusBytes=137 pcmBytes=1920 decodedSamples=960 PLC=false t=6804ms
2026-04-10 09:43:52.450 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE frame=5 opusBytes=134 pcmBytes=1920 decodedSamples=960 PLC=false t=6837ms
2026-04-10 09:43:52.480 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=6 totalFrames=6 totalOpusBytes=769 totalPcmBytes=11520 plcCount=0 t=6868ms
2026-04-10 09:43:53.482 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=48 totalFrames=54 totalOpusBytes=6391 totalPcmBytes=103680 plcCount=0 t=7870ms
2026-04-10 09:43:54.501 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=51 totalFrames=105 totalOpusBytes=12491 totalPcmBytes=201600 plcCount=0 t=8889ms
2026-04-10 09:43:55.502 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=155 totalOpusBytes=18205 totalPcmBytes=297600 plcCount=0 t=9890ms
2026-04-10 09:43:56.521 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=51 totalFrames=206 totalOpusBytes=24012 totalPcmBytes=395520 plcCount=0 t=10909ms
2026-04-10 09:44:00.413 13990-14487 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=46 totalFrames=252 totalOpusBytes=26805 totalPcmBytes=483840 plcCount=21 t=14802ms
2026-04-10 09:44:01.417 13990-14487 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=302 totalOpusBytes=32794 totalPcmBytes=579840 plcCount=21 t=15805ms
2026-04-10 09:44:02.417 13990-14487 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=352 totalOpusBytes=38484 totalPcmBytes=675840 plcCount=21 t=16805ms
2026-04-10 09:44:03.436 13990-14487 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=51 totalFrames=403 totalOpusBytes=44230 totalPcmBytes=773760 plcCount=21 t=17824ms
2026-04-10 09:44:04.437 13990-14487 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=453 totalOpusBytes=49956 totalPcmBytes=869760 plcCount=21 t=18825ms
2026-04-10 09:44:05.456 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=51 totalFrames=504 totalOpusBytes=55578 totalPcmBytes=967680 plcCount=21 t=19845ms
2026-04-10 09:44:06.457 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=554 totalOpusBytes=61323 totalPcmBytes=1063680 plcCount=21 t=20846ms
2026-04-10 09:44:07.476 13990-14489 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=51 totalFrames=605 totalOpusBytes=67038 totalPcmBytes=1161600 plcCount=21 t=21864ms
2026-04-10 09:44:08.487 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  DECODE_SUMMARY frames=50 totalFrames=655 totalOpusBytes=70860 totalPcmBytes=1257600 plcCount=37 t=22875ms
2026-04-10 09:44:10.067 13990-14495 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODER_REINIT rate=48000 frameSize=960 channels=1 bitrate=64000 VBR=true complexity=8 FEC=true — decoder untouched t=80ms
2026-04-10 09:44:10.257 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=1 pcmBytes=1920 encodedBytes=152 seq=1 t=271ms
2026-04-10 09:44:10.288 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=2 pcmBytes=1920 encodedBytes=134 seq=2 t=302ms
2026-04-10 09:44:10.319 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=3 pcmBytes=1920 encodedBytes=121 seq=3 t=333ms
2026-04-10 09:44:10.348 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=4 pcmBytes=1920 encodedBytes=169 seq=4 t=362ms
2026-04-10 09:44:10.376 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE frame=5 pcmBytes=1920 encodedBytes=186 seq=5 t=390ms
2026-04-10 09:44:10.414 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=6 totalFrames=6 totalPcmBytes=11520 totalEncodedBytes=953 t=427ms
2026-04-10 09:44:11.421 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  ENCODE_SUMMARY frames=27 totalFrames=33 totalPcmBytes=63360 totalEncodedBytes=5433 t=1434ms
2026-04-10 09:44:11.470 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=34 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=1 assertionFailures=1 method=encode
2026-04-10 09:44:11.475 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1488ms
2026-04-10 09:44:11.483 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=34 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=2 assertionFailures=2 method=encode
2026-04-10 09:44:11.489 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1502ms
2026-04-10 09:44:11.735 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=41 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=1 assertionFailures=3 method=encode
2026-04-10 09:44:11.741 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1755ms
2026-04-10 09:44:11.750 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=41 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=2 assertionFailures=4 method=encode
2026-04-10 09:44:11.755 13990-14050 [OpusCodec]             com.reedersystems.commandcomms       D  Encoder re-initialized after assertion failure (sampleRate=48000 frameSize=960 complexity=8 bitrate=64000) t=1769ms
2026-04-10 09:44:11.997 13990-14050 [RadioError]            com.reedersystems.commandcomms       E  OPUS_ENCODE_ASSERTION_FAILURE frame=48 source=VOICE_COMMUNICATION samples=960 bytes=1920 expectedBytes=1920 sampleRate=48000 frameSize=960 consecutiveFailures=1 assertionFailures=5 method=encode
