--------- beginning of main
2026-03-25 13:54:00.446  1483-31717 ADB_SERVICES            adbd                                 I  post waitpid (pid=31716) status=0000
2026-03-25 13:54:00.448   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.449   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:00.449   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write.....
2026-03-25 13:54:00.449   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Posting Fresh Write message.....
2026-03-25 13:54:00.449   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:00.449   355-1636  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write error status = 0x1ff
2026-03-25 13:54:00.449   355-355   NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write_unlocked failed - PN54X Maybe in Standby Mode - Retry
2026-03-25 13:54:00.459   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:00.460   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:00.471   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.479   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:00.480   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write.....
2026-03-25 13:54:00.480   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Posting Fresh Write message.....
2026-03-25 13:54:00.480   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:00.480   355-1636  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write error status = 0x1ff
2026-03-25 13:54:00.480   355-355   NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write_unlocked failed - PN54X Maybe in Standby Mode - Retry
2026-03-25 13:54:00.490   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:00.490   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:00.494   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.509   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:00.510   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write.....
2026-03-25 13:54:00.510   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Posting Fresh Write message.....
2026-03-25 13:54:00.510   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:00.510   355-1636  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write error status = 0x1ff
2026-03-25 13:54:00.510   355-355   NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write_unlocked failed - PN54X Maybe in Standby Mode (max count = 0x6)
2026-03-25 13:54:00.510   355-355   NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  phTmlNfc_i2c_reset(), VEN level 0
2026-03-25 13:54:00.518   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.520   404-404   gle.vp8.encoder         media.codec                          W  type=1400 audit(0.0:31288): avc: denied { getattr } for path="/dev/sw_sync" dev="tmpfs" ino=236 scontext=u:r:mediacodec:s0 tcontext=u:object_r:sw_sync_device:s0 tclass=chr_file permissive=0
2026-03-25 13:54:00.541   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.565   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
